keyword,count,avg_points,parent
Grapes,261,0.3438697318007663,Origin
Grande,261,0.4639846743295019,Origin
Montepulciano,259,0.3833976833976834,Origin
Gewürztraminer,258,0.3943798449612403,Origin
Road,257,0.4554474708171206,Origin
Poggio,257,0.4480544747081712,Origin
Maison,255,0.41313725490196074,Origin
Tour,254,0.4216535433070866,Origin
by,252,0.3724206349206349,Origin
Amarone,251,0.48346613545816736,Origin
Moscato,248,0.32076612903225804,Origin
Pierre,247,0.4366396761133603,Origin
Los,242,0.35103305785123967,Origin
delle,241,0.4674273858921162,Origin
Médoc,240,0.3670833333333333,Origin
Hills,239,0.496234309623431,Origin
Barbera,237,0.3888185654008439,Origin
Ste.,234,0.4290598290598291,Origin
Chardonnay),229,0.432532751091703,Origin
Nacional,227,0.44251101321585906,Origin
Martin,227,0.4094713656387665,Origin
I,227,0.4374449339207048,Origin
Adega,226,0.3446902654867257,Origin
Marqués,224,0.3763392857142857,Origin
Haut,219,0.40730593607305937,Origin
Albariño,218,0.39288990825688075,Origin
Vino,217,0.3972350230414747,Origin
Williams,216,0.6333333333333334,Origin
Merlot),215,0.4318604651162791,Origin
DFJ,215,0.3334883720930233,Origin
Jean-Luc,215,0.4630232558139535,Origin
Crianza,213,0.3448356807511737,Origin
Auslese,212,0.5818396226415095,Origin
Rock,211,0.40592417061611374,Origin
Jean,211,0.41042654028436015,Origin
William,207,0.4579710144927536,Origin
Barrel,207,0.4205314009661836,Origin
Columbia,207,0.392512077294686,Origin
Nacido,206,0.5621359223300971,Origin
VineyardsEstate,205,0.42512195121951224,Origin
Lage,205,0.6051219512195122,Origin
Nature,203,0.4283251231527094,Origin
Sur,201,0.42363184079601995,Origin
Organic,200,0.3265,Origin
Marchesi,200,0.47924999999999995,Origin
Label,200,0.39725,Origin
Seven,198,0.4550505050505051,Origin
Concha,198,0.3838383838383838,Origin
Terra,196,0.3908163265306122,Origin
Edition,194,0.4195876288659794,Origin
Saint,193,0.45906735751295336,Origin
the,193,0.416321243523316,Origin
Alta,193,0.4471502590673575,Origin
Clone,191,0.4887434554973822,Origin
Vieilles,190,0.4881578947368421,Origin
Margaux,189,0.5777777777777778,Origin
Ca',188,0.4162234042553192,Origin
le,187,0.4259358288770054,Origin
Seleccionada,187,0.36657754010695187,Origin
Blaye,186,0.3497311827956989,Origin
Lane,185,0.4743243243243243,Origin
Touriga,184,0.44456521739130433,Origin
Cantine,182,0.35027472527472525,Origin
Prestige,182,0.42692307692307696,Origin
Smaragd,182,0.6293956043956044,Origin
Colheita,182,0.35796703296703297,Origin
Las,182,0.4052197802197802,Origin
Muscat,181,0.4243093922651934,Origin
les,180,0.41611111111111115,Origin
Lie,180,0.40194444444444444,Origin
Three,178,0.37977528089887636,Origin
Blanc),176,0.39403409090909086,Origin
Riesling),176,0.446875,Origin
Cascina,174,0.471551724137931,Origin
d'Alba,174,0.4054597701149425,Origin
Casal,174,0.3261494252873563,Origin
Schloss,174,0.5545977011494253,Origin
Fermented,174,0.3850574712643678,Origin
Release,174,0.41005747126436776,Origin
Olivier,173,0.4959537572254335,Origin
Torrontés,173,0.2901734104046243,Origin
Tawny,173,0.47341040462427747,Origin
Caves,173,0.35722543352601155,Origin
Pomerol,171,0.5309941520467836,Origin
e,170,0.45411764705882357,Origin
Michele,169,0.47278106508875745,Origin
Michel,169,0.3772189349112426,Origin
Rocca,168,0.4428571428571429,Origin
Cheval,168,0.4988095238095238,Origin
Barbaresco,167,0.46916167664670655,Origin
Vigne,167,0.44610778443113774,Origin
Mas,166,0.42861445783132535,Origin
Two,164,0.42560975609756097,Origin
Maria,164,0.3984756097560975,Origin
al,163,0.4466257668711656,Origin
Corte,162,0.39938271604938275,Origin
Peter,161,0.41490683229813663,Origin
Erste,160,0.5678124999999999,Origin
River,160,0.41187500000000005,Origin
a,159,0.43899371069182386,Origin
Feudi,158,0.43322784810126586,Origin
Late,157,0.46464968152866243,Origin
