country,points,price,sentiment
England,0.5790540540540541,51.68115942028985,0.8499527027027026
India,0.5111111111111111,13.333333333333334,0.602111111111111
Austria,0.5050672645739911,30.76277241872097,0.6580275934230194
Germany,0.4925866050808314,42.25754716981132,0.5698709468822171
Canada,0.46848249027237354,35.71259842519685,0.5341357976653697
Hungary,0.4595890410958904,40.648275862068964,0.5630041095890411
China,0.45,18.0,0.0
France,0.44225546553206896,41.139120162016205,0.6069754718689178
Luxembourg,0.43333333333333335,23.333333333333332,0.6244666666666667
Australia,0.4290253327608416,35.43766346992153,0.4668210820094461
Switzerland,0.42857142857142855,85.28571428571429,0.21574285714285715
Morocco,0.42857142857142855,19.5,0.4726857142857143
US,0.42818600469690293,36.5734635584631,0.5170485597387348
Italy,0.4281115660184237,39.663769658271256,0.4854183213920164
Israel,0.42356435643564355,31.768916155419223,0.5231883168316832
New Zealand,0.41515151515151516,26.93178519593614,0.4444952078928823
Portugal,0.4125109822526797,26.21825641025641,0.6340970128272712
Turkey,0.40444444444444444,24.633333333333333,0.44597222222222227
Slovenia,0.403448275862069,24.8125,0.477516091954023
South Africa,0.402819414703783,24.668986852281517,0.6385535331905782
Bulgaria,0.3968085106382979,14.645390070921986,0.4167
Georgia,0.3843023255813953,19.321428571428573,0.5094906976744187
Lebanon,0.38428571428571434,30.685714285714287,0.48355999999999993
Armenia,0.375,14.5,0.54105
Serbia,0.375,24.5,0.36293333333333333
Spain,0.3644168547780286,28.215274608245853,0.34887208427389016
Greece,0.36416309012875536,22.364425162689805,0.6446783261802574
Czech Republic,0.3625,24.25,0.2826166666666667
Croatia,0.3609589041095891,25.450704225352112,0.6153041095890411
Moldova,0.3601694915254237,16.74576271186441,0.4142338983050847
Cyprus,0.3590909090909091,16.272727272727273,0.6817272727272727
Slovakia,0.35,16.0,0.8074
Macedonia,0.3416666666666666,15.583333333333334,0.43370833333333336
Uruguay,0.33761467889908253,26.40366972477064,0.2851651376146789
Argentina,0.33551315789473685,24.510117145899894,0.30460428947368423
Bosnia and Herzegovina,0.325,12.5,0.34355
Chile,0.3246757602862254,20.786458333333332,0.33104150268336313
Romania,0.32,15.241666666666667,0.43678500000000003
Mexico,0.26285714285714284,26.785714285714285,0.31807
Brazil,0.23365384615384616,23.76595744680851,0.09961923076923077
Ukraine,0.20357142857142857,9.214285714285714,0.4781571428571429
Egypt,0.2,,0.836
Peru,0.178125,18.0625,0.0018875000000000072
