type,varieties,abv,degree,sweet,acidity,body,tannin
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.75,0.5,0.5
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.825,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.75,0.75,0.75
Rotwein,Merlot,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Merlot,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.75,0.5,0.75
Weißwein,Semillon,0.3,0.325,1.0,0.5,0.25,0.0
Rotwein,Cabernet Sauvignon,0.25555555555555554,0.85,0.0,0.75,0.25,0.5
Rotwein,Merlot,0.25555555555555554,0.85,0.0,0.5,0.5,0.5
Rotwein,Grenache,0.28888888888888886,0.85,0.0,0.75,0.75,0.75
Rotwein,Syrah & Shiraz,0.3,0.85,0.0,0.75,0.5,0.5
Weißwein,Viognier,0.28888888888888886,0.55,0.0,0.5,0.5,0.0
Rotwein,Syrah & Shiraz,0.28888888888888886,0.85,0.0,0.5,0.75,0.5
Rotwein,Syrah & Shiraz,0.28888888888888886,0.85,0.0,0.75,1.0,0.75
Rotwein,Syrah & Shiraz,0.28888888888888886,0.875,0.0,0.75,0.75,0.75
Rotwein,Syrah & Shiraz,0.28888888888888886,0.85,0.0,0.75,1.0,1.0
Rotwein,Grenache,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Weißwein,Andere Weine,0.28888888888888886,0.55,0.0,0.5,0.75,0.0
Weißwein,Marsanne,0.28888888888888886,0.55,0.0,0.5,0.5,0.0
Rotwein,Syrah & Shiraz,0.28888888888888886,0.85,0.0,0.5,0.5,0.5
Rotwein,Syrah & Shiraz,0.28888888888888886,0.85,0.0,0.75,1.0,0.75
Rotwein,Syrah & Shiraz,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Syrah & Shiraz,0.28888888888888886,0.85,0.0,0.5,0.75,0.75
Weißwein,Chardonnay,0.2777777777777778,0.5,0.0,0.75,0.25,0.0
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,1.0,0.5,0.0
Weißwein,Chardonnay,0.28888888888888886,0.55,0.0,1.0,0.5,0.0
Weißwein,Sauvignon blanc,0.2777777777777778,0.5,0.0,1.0,0.25,0.0
Rotwein,Cabernet Sauvignon,0.3066666666666667,0.85,0.0,0.75,0.75,0.75
Weißwein,Chardonnay,0.3044444444444444,0.55,0.0,0.5,0.75,0.0
Rotwein,Cabernet Sauvignon,0.3,0.85,0.5,0.25,0.5,0.25
Rotwein,Andere Weine,0.18888888888888888,0.65,0.5,0.75,0.5,0.75
Weißwein,Riesling,0.2222222222222222,0.375,1.0,0.25,0.5,0.0
Rotwein,Merlot,0.28888888888888886,0.85,0.25,0.5,0.25,0.25
Weißwein,Andere Weine,0.2222222222222222,0.45,0.5,0.75,0.5,0.0
Weißwein,Riesling,0.23333333333333334,0.55,0.5,1.0,0.5,0.0
Weißwein,Andere Weine,0.2111111111111111,0.5,1.0,0.25,0.25,0.0
Roséwein,Tempranillo,0.16666666666666666,0.35,0.75,0.25,0.75,0.0
Rotwein,Pinot Noir,0.3,0.8,0.0,1.0,0.5,0.5
Weißwein,Sauvignon blanc,0.28888888888888886,0.55,0.0,1.0,0.25,0.0
Weißwein,Sauvignon blanc,0.28888888888888886,0.55,0.0,1.0,0.25,0.0
Rotwein,Cabernet Sauvignon,0.3111111111111111,0.9,0.0,0.5,0.75,0.75
Rotwein,Cabernet Sauvignon,0.3,0.9,0.0,0.5,0.5,0.75
Rotwein,Syrah & Shiraz,0.3,0.85,0.0,0.75,0.5,0.75
Weißwein,Chardonnay,0.3,0.5,0.0,0.5,0.5,0.0
Weißwein,Semillon,0.3,0.5,0.0,0.75,0.25,0.0
Rotwein,Syrah & Shiraz,0.28888888888888886,0.9,0.0,0.5,0.5,0.75
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.9,0.0,0.5,0.25,0.5
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.5,0.5,0.75
Weißwein,Chardonnay,0.3,0.5,0.0,0.75,0.5,0.0
Rotwein,Syrah & Shiraz,0.3,0.85,0.0,0.5,0.5,0.5
Weißwein,Chardonnay,0.28888888888888886,0.5,0.0,0.5,0.25,0.0
Rotwein,Syrah & Shiraz,0.3,0.9,0.0,0.5,0.75,0.5
Weißwein,Viura,0.2777777777777778,0.4,0.0,0.5,0.5,0.0
Rotwein,Tempranillo,0.3111111111111111,0.85,0.0,0.5,0.75,0.5
Rotwein,Tempranillo,0.3,0.85,0.0,0.75,0.5,0.5
Rotwein,Tempranillo,0.3111111111111111,0.85,0.0,0.5,0.75,0.5
Rotwein,Tempranillo,0.3111111111111111,0.85,0.0,0.5,0.75,0.5
Rotwein,Tempranillo,0.3111111111111111,0.85,0.0,0.5,0.75,0.75
Weißwein,Viura,0.26666666666666666,0.5,0.5,0.25,0.5,0.0
Rotwein,Pinot Noir,0.2777777777777778,0.8,0.0,0.5,0.5,0.25
Weißwein,Sauvignon blanc,0.2777777777777778,0.55,0.0,1.0,0.25,0.0
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.5,0.5,0.5
Rotwein,Syrah & Shiraz,0.3,0.85,0.0,0.5,0.25,0.5
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.5,0.5,0.75
Weißwein,Chardonnay,0.0,0.0,0.0,0.5,0.5,0.0
Rotwein,Syrah & Shiraz,0.3,0.85,0.0,0.5,0.75,0.5
Rotwein,Cabernet Sauvignon,0.26666666666666666,0.85,0.25,0.75,0.5,0.5
Weißwein,Chardonnay,0.26666666666666666,0.5,0.0,0.5,0.25,0.0
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.5,0.75,0.5
Weißwein,Moscato,0.14444444444444443,0.45,0.75,0.25,0.25,0.0
Rotwein,Sangiovese,0.0,0.0,0.0,0.5,0.5,0.5
Rotwein,Sangiovese,0.2777777777777778,0.825,0.0,0.5,0.5,0.5
Rotwein,Sangiovese,0.3,0.825,0.0,0.5,0.5,0.5
Rotwein,Sangiovese,0.3,0.825,0.0,0.5,0.75,0.5
Rotwein,Sangiovese,0.32222222222222224,0.825,0.0,0.5,1.0,0.75
Rotwein,Sangiovese,0.3,0.85,0.0,0.75,0.5,0.5
Rotwein,Sangiovese Grosso,0.32222222222222224,0.825,0.0,0.5,1.0,0.75
Rotwein,Sangiovese,0.3111111111111111,0.85,0.0,0.5,0.75,0.5
Weißwein,Andere Weine,0.0,0.0,0.0,0.75,0.25,0.0
Rotwein,Sangiovese,0.3,0.85,0.0,0.5,0.5,0.25
Rotwein,Sangiovese,0.3,0.825,0.0,0.5,0.75,0.5
Rotwein,Sangiovese,0.32222222222222224,0.825,0.0,0.5,1.0,0.75
Rotwein,Andere Weine,0.3,0.875,0.0,0.75,0.75,0.75
Rotwein,Cabernet Sauvignon,0.32222222222222224,0.85,0.0,0.5,0.5,0.5
Rotwein,Merlot,0.32222222222222224,0.85,0.0,0.75,0.5,0.5
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.25,0.75,0.5,0.5
Rotwein,Merlot,0.2777777777777778,0.85,0.25,0.5,0.5,0.25
Rotwein,Cabernet Sauvignon,0.32222222222222224,0.85,0.0,0.5,0.5,0.75
Rotwein,Cabernet Sauvignon,0.32222222222222224,0.85,0.0,0.5,0.5,0.5
Rotwein,Carmenere,0.32222222222222224,0.85,0.0,0.5,0.5,0.5
Weißwein,Chardonnay,0.3111111111111111,0.5,0.0,0.25,0.5,0.0
Rotwein,Cabernet Sauvignon,0.3,0.8,0.0,0.5,0.25,0.5
Rotwein,Carmenere,0.3,0.9,0.25,0.75,0.5,0.5
Weißwein,Chardonnay,0.2777777777777778,0.45,0.25,0.5,0.25,0.0
Weißwein,Sauvignon blanc,0.25555555555555554,0.55,0.25,0.75,0.25,0.0
Rotwein,Cabernet Sauvignon,0.0,0.0,0.0,0.5,0.75,0.75
Weißwein,Riesling,0.26666666666666666,0.35,1.0,0.0,0.75,0.0
Rotwein,Carmenere,0.32222222222222224,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.32222222222222224,0.9,0.0,0.5,0.75,0.75
Rotwein,Sangiovese,0.32222222222222224,0.85,0.0,0.75,0.5,0.5
Weißwein,Pinot Grigio,0.0,0.0,0.0,0.5,0.5,0.0
Rotwein,Merlot,0.0,0.0,0.0,0.5,0.5,0.5
Weißwein,Chardonnay,0.26666666666666666,0.55,0.0,0.5,0.25,0.0
Rotwein,Syrah & Shiraz,0.3111111111111111,0.9,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Merlot,0.26666666666666666,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.3111111111111111,0.85,0.0,0.5,0.75,0.75
Rotwein,Malbec,0.32222222222222224,0.85,0.0,0.5,0.75,0.5
Rotwein,Malbec,0.32222222222222224,0.85,0.0,0.5,0.75,1.0
Rotwein,Cabernet Sauvignon,0.32222222222222224,0.9,0.0,0.5,0.75,0.75
Rotwein,Cabernet Sauvignon,0.3,0.85,0.0,0.5,0.75,0.75
Weißwein,Chardonnay,0.3,0.5,0.0,0.5,0.5,0.0
Rotwein,Malbec,0.3,0.85,0.0,0.5,0.75,0.75
Rotwein,Malbec,0.32222222222222224,0.9,0.0,0.5,0.75,0.75
Rotwein,Cabernet Sauvignon,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Malbec,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Merlot,0.3,0.875,0.25,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.0,0.0,0.0,0.5,0.75,0.75
Rotwein,Merlot,0.3,0.85,0.0,0.5,0.75,0.5
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.5,0.75,0.75
Rotwein,Merlot,0.3111111111111111,0.85,0.0,0.5,0.75,0.5
Rotwein,Merlot,0.0,0.0,0.0,0.5,0.75,0.5
Rotwein,Blend,0.26666666666666666,0.85,0.25,0.5,0.5,0.5
Weißwein,Blend,0.25555555555555554,0.45,0.5,0.25,0.5,0.0
Roséwein,Zinfandel,0.2222222222222222,0.6,0.25,0.25,0.25,0.0
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.75,0.5,0.5
Rotwein,Cabernet Sauvignon,0.26666666666666666,0.85,0.0,0.75,0.5,0.5
Rotwein,Cabernet Franc,0.26666666666666666,0.55,0.0,0.5,0.5,0.5
Rotwein,Merlot,0.2777777777777778,0.85,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.26666666666666666,0.85,0.0,0.5,0.75,0.5
Rotwein,Cabernet Sauvignon,0.28888888888888886,0.85,0.0,0.75,0.5,0.5
Rotwein,Merlot,0.0,0.0,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.0,0.0,0.0,0.5,0.5,0.5
Rotwein,Cabernet Sauvignon,0.0,0.0,0.0,0.5,0.5,0.5
Rotwein,Andere Weine,0.14444444444444443,0.85,0.0,0.5,0.5,0.5
Rotwein,Andere Weine,0.14444444444444443,0.85,0.0,0.5,0.5,0.5
Weißwein,Chardonnay,0.28888888888888886,0.45,0.0,1.0,0.25,0.0
Weißwein,Chardonnay,0.28888888888888886,0.45,0.0,1.0,0.5,0.0
Rotwein,Pinot Noir,0.0,0.0,0.0,0.75,0.25,0.25
